Date, Company, Job Title, Job ID
April-04-2022,Leidos,Software Developer,R-00062900
April-04-2022,Leidos,Jr. Cyber Security Engineer,R-00079575
April-04-2022,Leidos,Cyber Software Engineer,R-00079571
April-08-2022,Finra,Developer,R-004269
April-11-2022,Nasdaq,Software Engineer,R0010546
April-12-2022,Google,Software Engineering III Core,N/A
May-06-2022,Qualcomm,Software Engineer,3032196
May-13-2022,Canoo,Embedded Software Engineer Linux,2022-1669
May-13-2022,Actalent,Software Engineer 100% Remote,JP-002860136
May-17-2022,KFORCE,C/C++ CPE Software Engineer,2018110-TVT
May-18-2022,Bank of America,Software Engineer II C/C++ Developer,22026442
May-24-2022,Comcast,C++ Engineer,R327922
June-02-2022,Checkpoint,Software Engineer,16113
June-02-2022,Wiley,Software Developer, NA
June-22-2022,Dice,C/C++ developer,10124771
June-28-2022,ALStream Tech Inc,Entry Level DevOps Engineer,NA
June-28-2022,Dice,C++ Developer, NA
June-29-2022,EVONA,C++ Software Engineer Satellites,NA
June-29-2022,Latitude Inc,Unix Linux Systems Administrator,NA
June-29-2022,AmeriinfoVets,Jr Software Programmer(C/C++),NA
June-29-2022,TeamWorxSecurity,Junior Software Engineer(On-Site),NA
June-29-2022,Brooksource,Junior Software Engineer,NA
June-29-2022,Praxis Engineering,Jr Embedded Developer,NA
June-29-2022,Lakewood Pathology Associates,C++ Software Engineer,NA
June-29-2022,Wa Zepp Inc,Linux C++/Java Software Engineer (US Citizen Only),NA
June-29-2022,Latitiude Inc,C++ Software Engineer,NA
June-29-2022,Latitiude Inc,PC Technician,NA
July-01-2022,Kythera Space Solutions,Optimization Engineer, NA
July-01-2022,Actalent,C++ Developer,JP-002959239
July-01-2022,Verint,Associate Software Developer Linux,781
July-05-2022,Citrix,Software Engineer Admnin Experience,R33715
July-06-2022,EAi Technologies,Entry Level .NET Developer,NA
July-07-2022,Technology Service Corporation,Software Engineer I,NA
July-07-2022,DURLSTON PARTNERS,C++ Software Engineering,NA
July-07-2022,Bethesda Game Studios,Systems Programmer,NA
July-08-2022,Varis,Entry Level Software Development Engineer,NA
July-08-2022,Solu Technology Partners,C++ Software Engineer,NA
July-08-2022,Griffin Global Systems Inc,C++ Software Engineer,NA
July-11-2022,Stonebranch,Solutions Engineer,NA
July-18-2022,The ACI Group Inc,C Developer,NA
July-20-2022,Hatchways,Junior Backend Engineer,YCS19
July-20-2022,Group W,C++ Programmer Junior,NA
July-25-2022,DURLSTON PARTNERS,C++ Software Engineer,NA
July-25-2022,Insight Global,Jr. Linux Engineer,NA
July-25-2022,ACL Digital,C++ Developer (Gaming),NA
July-25-2022,APEX Systems,Linux Engineer(Remote),NA
July-26-2022,Kythera Space Solutions,Software Developer/Engineer C++,NA
July-26-2022,Confidential,C++ Developer,NA
